Id da Organização,Deployment,API,Version,Data
00315557,Open-Finance-v2.0.0,accounts,v2,25-08-2023.
01027058,CIELO-Open-Banking-1.0.0,accounts,v2,30-11-2023.
11275560,RecargaPay-OpenFinance,accounts,v2,16-08-2023.
13935893,Open-Banking-Brazil-v2.0.1,accounts,v2,02-08-2023.
20855875,Open Banking Brazil v2.0.1,accounts,v2-OL,10-07-2023.
30620610,Customer Data - API Version 2,accounts,v2-OL,23-02-2023.
61820817,Banco-Paulista-V1.0,accounts,v2,23-11-2023.
00315557,Open-Finance-v2.0.0,business,v2,25-08-2023.
01027058,CIELO-Open-Banking-1.0.0,business,v2,30-11-2023.
01027058,CIELO-Open-Finance-2.0.0,business,v2,05-08-2024.
11275560,RecargaPay-OpenFinance,business,v2,16-08-2023.
16501555,open-finance-integration-v0.3.34,business,v2,06-02-2024.
18189547,infinitepay-lina-opfi-custumerbusiness,business,v2,08-01-2024.
20855875,Api Corporate Customer v2.0.1,business,v2,17-07-2023.
30620610,Customer Data - API Version 2,business,v2-OL,23-02-2023.
33264668,BANCO XP S.A. Open Banking 2.0,business,v2-OL,04-04-2023.
33657248,BNDES-Sensedia,business,v2,09-05-2024.
33657248,"Resources,-Consents-v2.1.0-e-Fin,-Customer-v2.0.1-",business,v2,26-09-2023.
37943755,Iniciador-SaaS-Detentora-v1.4.0,business,v2,16-08-2024.
60889128,2.1.0,business,v2,16-02-2024.
61820817,Banco-Paulista-V1.0,business,v2,27-10-2023.
00315557,Open-Finance-v2.0.0,consents,v2,24-08-2023.
01027058,CIELO-Open-Banking-1.0.0,consents,v2,30-11-2023.
11275560,RecargaPay-OpenFinance,consents,v2,16-08-2023.
13935893,Open-Banking-Brazil-v2.0.1,consents,v2,02-08-2023.
20855875,Open Banking Brazil v2.0.1,consents,v2-OL,10-07-2023.
27098060,Digio---Consents-v2.0.1,consents,v2,12-09-2023.
27098060,Digio-Uber---Consents-v2.0.1,consents,v2,12-09-2023.
30620610,Customer Data - API Version 2,consents,v2-OL,23-02-2023.
32402502,Consents-v2,consents,v2,06-09-2023.
43215815,Belvo-Open-Finance-v1.0,consents,v2,02-08-2023.
00315557,Open-Finance-v2.0.0,credit-card,v2,24-08-2023.
20855875,credit-cards-test-plan-v2,credit-card,v2,02-08-2023.
00315557,Open-Finance-v2.0.0,financings,v2,24-08-2023.
30620610,Customer Data - API Version 2,financings,v2-OL,23-02-2023.
33657248,"Resources,-Consents-v2.1.0-e-Fin,-Customer-v2.0.1-",financings,v2,26-09-2023.
00315557,Open-Finance-v2.0.0,invoice-financings,v2,24-08-2023.
30620610,Customer Data - API Version 2,invoice-financings,v2-OL,23-02-2023.
00315557,Open-Finance-v2.0.0,loans,v2,24-08-2023.
30620610,Customer Data - API Version 2,loans,v2-OL,23-02-2023.
61820817,Banco-Paulista-1.0,loans,v2,23-11-2023.
00315557,Open-Finance-v2.0.0,personal,v2,24-08-2023.
11275560,RecargaPay-OpenFinance,personal,v2,16-08-2023.
13935893,Open-Banking-Brazil-v2.0.1,personal,v2,02-08-2023.
16501555,open-finance-integration-v0.3.34,personal,v2,06-02-2024.
18189547,infinitepay-lina-opfi-custumerbusiness,personal,v2,08-01-2024.
20855875,Open Banking Brazil v2.0.1,personal,v2-OL,10-07-2023.
30306294,BTG-Necton-2024,personal,v2,09-05-2024.
30620610,Customer Data - API Version 2,personal,v2-OL,23-02-2023.
37943755,Iniciador-SaaS-Detentora-v1.4.0,personal,v2,16-08-2024.
43215815,Belvo-Open-Finance-v1.0,personal,v2,02-08-2023.
44459799,Iniciador-SaaS-Detentora-v1.2.0,personal,v2,09-11-2023.
60889128,2.1.0,personal,v2,16-02-2024.
61820817,Banco-Paulista-1.0,personal,v2,27-10-2023.
00315557,Open-Finance-v2.0.0,resources,v2,24-08-2023.
01027058,CIELO-Open-Banking-1.0.0,resources,v2,30-11-2023.
11275560,RecargaPay-OpenFinance,resources,v2,16-08-2023.
13935893,Open-Banking-Brazil-v2.0.1,resources,v2,02-08-2023.
20855875,Open Banking Brazil v2.0.1,resources,v2-OL,10-07-2023.
30620610,Customer Data - API Version 2,resources,v2-OL,23-02-2023.
43215815,Belvo-Open-Finance-v1.0,resources,v2,02-08-2023.
00315557,Open-Finance-v2.0.0,unarranged-overdraft,v2,24-08-2023.
30620610,Customer Data - API Version 2,unarranged-overdraft,v2-OL,23-02-2023.
