Conglomerado,Deployment,accounts,business,consents,credit-card,financings,invoice-financings,loans,personal,resources,unarranged-overdraft
CAIXA ECONOMICA FEDERAL,Caixa Econômica Federal,[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/accounts/2.0.1/00360305_Caixa Econômica Federal_accounts_v2_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/business/2.0.1/00360305_Caixa Econômica Federal_business_v2_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/consents/2.0.1/00360305_Caixa Econômica Federal_consents_v2_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/credit-card/2.0.1/00360305_Caixa Econômica Federal_credit-card_v2_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/financings/2.0.1/00360305_Caixa Econômica Federal_financings_v2_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/invoice-financings/2.0.1/00360305_Caixa Econômica Federal_invoice-financings_v2_04-10-2022.zip),,[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/personal/2.0.1/00360305_Caixa Econômica Federal_personal_v2_04-10-2022.zip),,[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/unarranged-overdraft/2.0.1/00360305_Caixa Econômica Federal_unarranged-overdraft_v2_06-10-2022.zip)
CONFEDERACAO DAS COOPERATIVAS DO SICREDI - CONFEDERACAO SICREDI,Open Finance 2.0.1,[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/accounts/2.0.1/01181521_Open Finance 2.0.1_accounts_v2_06-10-2022.ZIP),[28-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/business/2.0.1/01181521_Open Finance 2.0.1_business_v2_28-09-2022.ZIP),[30-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/consents/2.0.1/01181521_Open Finance 2.0.1_consents_v2_30-09-2022.ZIP),[03-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/credit-card/2.0.1/01181521_Open Finance 2.0.1_credit-card_v2_03-10-2022.ZIP),,,,,,
BANCO BTG PACTUAL S.A.,Banco BTG Pactual Open Banking v2.0 - DIGITAL,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/accounts/2.0.1/30306294_Banco BTG Pactual Open Banking v2.0 - DIGITAL_accounts_v2_29-09-2022.zip),,,,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/financings/2.0.1/30306294_Banco BTG Pactual Open Banking v2.0 - DIGITAL_financings_v2_29-09-2022.zip),[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/invoice-financings/2.0.1/30306294_Banco BTG Pactual Open Banking v2.0 - DIGITAL_invoice-financings_v2_29-09-2022.zip),,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/personal/2.0.1/30306294_Banco BTG Pactual Open Banking v2.0 - DIGITAL_personal_v2_29-09-2022.zip),,
BANCO BTG PACTUAL S.A.,Banco BTG Pactual Open Banking v2.0 - MAIS,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/accounts/2.0.1/30306294_Banco BTG Pactual Open Banking v2.0 - MAIS_accounts_v2_29-09-2022.zip),,,,,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/invoice-financings/2.0.1/30306294_Banco BTG Pactual Open Banking v2.0 - MAIS_invoice-financings_v2_29-09-2022.zip),,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/personal/2.0.1/30306294_Banco BTG Pactual Open Banking v2.0 - MAIS_personal_v2_29-09-2022.zip),,
BANCO BTG PACTUAL S.A.,Banco BTG Pactual Open Banking v2.0 - WM,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/accounts/2.0.1/30306294_Banco BTG Pactual Open Banking v2.0 - WM_accounts_v2_29-09-2022.zip),,,,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/financings/2.0.1/30306294_Banco BTG Pactual Open Banking v2.0 - WM_financings_v2_29-09-2022.zip),[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/invoice-financings/2.0.1/30306294_Banco BTG Pactual Open Banking v2.0 - WM_invoice-financings_v2_29-09-2022.zip),,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/personal/2.0.1/30306294_Banco BTG Pactual Open Banking v2.0 - WM_personal_v2_29-09-2022.zip),,
BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.,Banrisul Open Finance v2.0.0,[28-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/accounts/2.0.1/92702067_Banrisul Open Finance v2.0.0_accounts_v2_28-09-2022.zip),[28-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/business/2.0.1/92702067_Banrisul Open Finance v2.0.0_business_v2_28-09-2022.zip),[30-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/consents/2.0.1/92702067_Banrisul Open Finance v2.0.0_consents_v2_30-09-2022.zip),,[10-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/financings/2.0.1/92702067_Banrisul Open Finance v2.0.0_financings_v2_10-10-2022.zip),[28-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/invoice-financings/2.0.1/92702067_Banrisul Open Finance v2.0.0_invoice-financings_v2_28-09-2022.zip),[30-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/loans/2.0.1/92702067_Banrisul Open Finance v2.0.0_loans_v2_30-09-2022.zip),[28-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/personal/2.0.1/92702067_Banrisul Open Finance v2.0.0_personal_v2_28-09-2022.zip),[30-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/resources/2.0.1/92702067_Banrisul Open Finance v2.0.0_resources_v2_30-09-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/unarranged-overdraft/2.0.1/92702067_Banrisul Open Finance v2.0.0_unarranged-overdraft_v2_04-10-2022.zip)
BANCO DO BRASIL S.A.,API BB v2,,[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/business/2.0.1/00000000_API BB v2_business_v2_04-10-2022.zip),[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/consents/2.0.1/00000000_API BB v2_consents_v2_05-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/credit-card/2.0.1/00000000_API BB v2_credit-card_v2_04-10-2022.zip),[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/financings/2.0.1/00000000_API BB v2_financings_v2_05-10-2022.zip),[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/invoice-financings/2.0.1/00000000_API BB v2_invoice-financings_v2_05-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/loans/2.0.1/00000000_API BB v2_loans_v2_04-10-2022.zip),[04-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/personal/2.0.1/00000000_API BB v2_personal_v2_04-10-2022.zip),,[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/unarranged-overdraft/2.0.1/00000000_API BB v2_unarranged-overdraft_v2_05-10-2022.zip)
CONFEDERACAO NACIONAL DAS COOPERATIVAS DO SICOOB LTDA,Business Customer Data api test 2.0.1 API,,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/business/2.0.1/02038232_Business Customer Data api test 2.0.1 API_business_v2_29-09-2022.zip),,,,,,,,
,BNDES Open Banking 1.2.0,,[28-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/business/2.0.1/33416994_BNDES Open Banking 1.2.0_business_v2_28-09-2022.zip),[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/consents/2.0.1/33416994_BNDES Open Banking 1.2.0_consents_v2_29-09-2022.zip),,[28-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/financings/2.0.1/33416994_BNDES Open Banking 1.2.0_financings_v2_28-09-2022.zip),,,,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/resources/2.0.1/33416994_BNDES Open Banking 1.2.0_resources_v2_29-09-2022.zip),
BANCO CITIBANK S.A.,Banco Citibank – Open Banking Brazil V2.0,,[23-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/business/2.0.1/33479023_Banco Citibank – Open Banking Brazil V2.0_business_v2_23-09-2022.zip),[26-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/consents/2.0.1/33479023_Banco Citibank – Open Banking Brazil V2.0_consents_v2_26-09-2022.zip),,,,[05-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/loans/2.0.1/33479023_Banco Citibank – Open Banking Brazil V2.0_loans_v2_05-10-2022.zip),,,
Quanto Network Instituicao de Pagamento Ltda.,Quanto Open Banking Opus Services 2.0.0,,[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/business/2.0.1/42064545_Quanto Open Banking Opus Services 2.0.0_business_v2_07-10-2022.zip),[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/consents/2.0.1/42064545_Quanto Open Banking Opus Services 2.0.0_consents_v2_07-10-2022.zip),,,,,[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/personal/2.0.1/42064545_Quanto Open Banking Opus Services 2.0.0_personal_v2_07-10-2022.zip),[07-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/resources/2.0.1/42064545_Quanto Open Banking Opus Services 2.0.0_resources_v2_07-10-2022.zip),
BANCO BOCOM BBM S.A.,BOCOM BBM Open Banking 2.0.1,,,[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/consents/2.0.1/15114366_BOCOM BBM Open Banking 2.0.1_Consents_v2_06-10-2022.zip),,,,[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/loans/2.0.1/15114366_BOCOM BBM Open Banking 2.0.1_Loans_v2_06-10-2022.zip),,,
GERU SOCIEDADE DE CREDITO DIRETO SA,Geru Open Finance v2,,,[26-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/consents/2.0.1/37763847_Geru Open Finance v2_consents_v2_26-09-2022.zip),,,,[26-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/loans/2.0.1/37763847_Geru Open Finance v2_loans_v2_26-09-2022.zip),[27-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/personal/2.0.1/37763847_Geru Open Finance v2_personal_v2_27-09-2022.zip),[03-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/resources/2.0.1/37763847_Geru Open Finance v2_resources_v2_03-10-2022.zip),
CONFEDERACAO NACIONAL DAS COOPERATIVAS DO SICOOB LTDA,Credit operations discounted credit rights api test 2.0.1,,,,[30-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/credit-card/2.0.1/02038232_Credit operations discounted credit rights api test 2.0.1_credit-card_v2_30-09-2022.zip),,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/invoice-financings/2.0.1/02038232_Credit operations discounted credit rights api test 2.0.1_invoice-financings_v2_29-09-2022.zip),,,,
CONFEDERACAO NACIONAL DAS COOPERATIVAS DO SICOOB LTDA,Financings api test 2.0.1,,,,,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/financings/2.0.1/02038232_Financings api test 2.0.1_financings_v2_29-09-2022.zip),,,,,
BANCO BTG PACTUAL S.A.,Banco BTG Pactual Open Banking v2.0 - CORPORATE,,,,,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/financings/2.0.1/30306294_Banco BTG Pactual Open Banking v2.0 - CORPORATE_financings_v2_29-09-2022.zip),,,,,
BANCO BTG PACTUAL S.A.,Banco BTG Pactual Open Banking v2.0 - MAIS-BUSINESS,,,,,[29-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/financings/2.0.1/30306294_Banco BTG Pactual Open Banking v2.0 - MAIS-BUSINESS_financings_v2_29-09-2022.zip),,,,,
CONFEDERACAO NACIONAL DAS COOPERATIVAS DO SICOOB LTDA,Loans api test 2.0.1,,,,,,,[30-09-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/loans/2.0.1/02038232_Loans api test 2.0.1_Loans_v2_30-09-2022.zip),,,
ITAÚ UNIBANCO S.A.,Itau Unibanco Major,,[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/business/2.0.1/60701190000104_Itau Unibanco Major_business_v2_06-10-2022.zip),,,[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/financings/2.0.1/60701190000104_Itau Unibanco Major_financings_v2_06-10-2022.zip),[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/invoice-financings/2.0.1/6070119_Itau Unibanco Major_invoice-financings_v2_06-10-2022.zip),[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/loans/2.0.1/6070119_Itau Unibanco Major_loans_v2_06-10-2022.zip),[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/personal/2.0.1/6070119_Itau Unibanco Major_personal_v2_06-10-2022.zip),[06-10-2022](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/resources/2.0.1/60701190000104_Itau Unibanco Major_resources_v2_06-10-2022.zip),[06-10-2022.zip](https://github.com/OpenBanking-Brasil/conformance/tree/main/submissions/functional/unarranged-overdraft/2.0.1/60701190000104_Itau Unibanco Major_unarranged-overdraft_v2_06-10-2022.zip.zip)
